age/year,occupation,income,province,use,prod,prod2,prod3,prod4
36-40 ปี,ลูกจ้าง,"20,001-30,000 บาท",กระบี่,แชมพู,เจลล้างมือ,สินค้า OTOP,ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"30,001-40,000 บาท",นครปฐม,แชมพู,แชมพู,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
30-35 ปี,ลูกจ้าง,"30,001-40,000 บาท",ประจวบคีรีขันธ์,โลชั่นบำรุงผิว,โลชั่นบำรุงผิว,ร้านค้าในอินเทอร์เน็ต,ซื้อ,2 เดือน
45 ปีขึ้นไป,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",สุพรรณบุรี,โลชั่นบำรุงผิว,โลชั่นบำรุงผิว,ร้านค้าในอินเทอร์เน็ต,ซื้อ,3 เดือน
45 ปีขึ้นไป,ธุรกิจส่วนตัว,"30,001-40,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
36-40 ปี,ลูกจ้าง,"40,001-50,000 บาท",กรุงเทพมหานคร,เจลล้างมือ,โลชั่นบำรุงผิว,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
30-35 ปี,ลูกจ้าง,"20,001-30,000 บาท",ระยอง,ครีมบำรุงรอบดวงตา,โลชั่นบำรุงผิว,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"20,001-30,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,วิตามินบำรุงผม,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",กระบี่,แชมพู,โลชั่นบำรุงผิว,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"40,001-50,000 บาท",ชุมพร,โลชั่นบำรุงผิว,โลชั่นบำรุงผิว,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,2 เดือน
41-45 ปี,อาชีพอิสระ,"10,000-20,000 บาท",ประจวบคีรีขันธ์,แชมพู,สบู่เหลวอาบน้ำ,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",กระบี่,ครีมกันแดด,ครีมบำรุงผิวหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",กระบี่,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",สระบุรี,ครีมบำรุงผิวหน้า,โลชั่นบำรุงผิว,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
45 ปีขึ้นไป,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",เพชรบุรี,แชมพู,เจลล้างมือ,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ไม่ซื้อ,3 เดือน
36-40 ปี,อาชีพอิสระ,"10,000-20,000 บาท",กรุงเทพมหานคร,เจลล้างหน้า,ครีมบำรุงผิวหน้า,ตัวแทนจำหน่าย(ขายตรง),ซื้อ,2 เดือน
36-40 ปี,ธุรกิจส่วนตัว,"40,001-50,000 บาท",ประจวบคีรีขันธ์,โลชั่นบำรุงผิว,โลชั่นบำรุงผิว,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
30-35 ปี,อาชีพอิสระ,"10,000-20,000 บาท",สุราษฎร์ธานี,ครีมบำรุงผิวหน้า,วิตามินบำรุงผม,ร้านค้าในอินเทอร์เน็ต,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",สระบุรี,แชมพู,ครีมบำรุงรอบดวงตา,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,1 เดือน
30-35 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",กระบี่,โลชั่นบำรุงผิว,ครีมกันแดด,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,2 เดือน
36-40 ปี,ธุรกิจส่วนตัว,"10,000-20,000 บาท",พัทลุง,เจลล้างหน้า,เจลล้างหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,2 เดือน
